variable_name	code_list	definition
budget_cpp_dstb		Average cost of drugs budgeted per patient for drug-susceptible TB treatment, excluding buffer stock (US Dollars)
budget_cpp_mdr		Average cost of drugs budgeted per patient for MDR-TB treatment, excluding buffer stock (US Dollars)
budget_cpp_tpt		Average cost of drugs budgeted per patient for  TB preventive treatment, excluding buffer stock (US Dollars)
budget_cpp_xdr		Average cost of drugs budgeted per patient for XDR-TB treatment, excluding buffer stock (US Dollars)
budget_fld		Budget required for drugs to treat drug-susceptible TB (US Dollars)
budget_lab		Budget required for laboratory infrastructure, equipment and supplies (US Dollars)
budget_mdrmgt		Budget required for programme costs to treat drug-resistant TB (US Dollars)
budget_orsrvy		Budget required for operational research and surveys (US Dollars)
budget_oth		Budget required for all other budget line items (US Dollars)
budget_patsup		Budget required for patient support (US Dollars)
budget_prog		Budget required for programme costs to treat drug-susceptible TB (US Dollars)
budget_sld		Budget required for drugs to treat drug-resistant TB (US Dollars)
budget_staff		Budget required for National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
budget_tbhiv		Budget required for collaborative TB/HIV activities (US Dollars)
budget_tot		Total budget required (US Dollars)
budget_tpt		Budget required for TB preventive treatment: drugs (US Dollars)
cf_fld		Expected funding for drugs to treat drug-susceptible TB (US Dollars)
cf_lab		Expected funding for laboratory infrastructure, equipment and supplies (US Dollars)
cf_mdrmgt		Expected funding for programme costs to treat drug-resistant TB (US Dollars)
cf_orsrvy		Expected funding for operational research and surveys (US Dollars)
cf_oth		Expected funding for all other budget line items (US Dollars)
cf_patsup		Expected funding for patient support (US Dollars)
cf_prog		Expected funding for programme costs to treat drug-susceptible TB (US Dollars)
cf_sld		Expected funding for drugs to treat drug-resistant TB (US Dollars)
cf_staff		Expected funding for National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
cf_tbhiv		Expected funding for collaborative TB/HIV activities (US Dollars)
cf_tot		Total expected funding for all budget line items (US Dollars)
cf_tot_domestic		Expected funding from domestic sources, including loans (US Dollars)
cf_tot_gf		Expected funding from the Global Fund to Fight AIDS, Tuberculosis and Malaria (US Dollars)
cf_tot_grnt		Expected funding from other sources (US Dollars)
cf_tot_sources		Total expected funding from all sources (US Dollars)
cf_tot_usaid		Expected funding from USAID (US Dollars)
cf_tpt		Expected funding for TB preventive treatment drugs (US Dollars)
tx_dstb		Number of patients expected to start drug-susceptible TB treatment
tx_mdr		Number of patients expected to start MDR-TB treatment
tx_tpt		Number of patients expected to start TB preventive treatment
tx_xdr		Number of patients expected to start XDR-TB treatment
bmu		Number of TB Basic Management Units in the country
bmu_community_impl		Number of TB Basic Management Units which implemented community-based referrals or any form of community treatment adherence support
bmu_ref_data		Number of Basic Management Units with data on referrals by community health workers / community volunteers
bmu_rxsupport_data		Number of Basic Management Units with data on community treatment adherence support
bmu_rxsupport_data_coh		Total number of patients who started TB treatment in the Basic Management Units with data on community treatment adherence support
community_data_available	0=No; 1=Yes	Are data available on community-based referrals or any form of community treatment adherence support?
notified_ref		Total number of new and relapse TB cases notified in the Basic Management Units with data on referrals by community health workers
notified_ref_community		Total number of new and relapse TB cases referred by community health workers / community volunteers in the Basic Management Units with data on referrals by community health workers
rxsupport_community_coh		Total number of patients who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
rxsupport_community_succ		Total number of patients who were cured or who completed treatment among the cases who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
newinc_con		(If screen_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases
newinc_con_prevtx		(If prevtx_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases notified in the reporting year who were started on TB preventive treatment
newinc_con_screen		(If screen_data_available=60) Number of household contacts of bacteriologically-confirmed pulmonary new and relapse TB cases who were evaluated for active TB and latent TB
newinc_con04_prevtx		(If prevtx_data_available=60) Number of children aged under 5 started on TB preventive treatment who are household contacts of bacteriologically-confirmed new and relapse TB cases notified
newinc_con5plus_prevtx		(If prevtx_5plus_data_available=60) Number of children aged 5 years and above, adolescents and adults started on TB preventive therapy who are household contacts of bacteriologically-confirmed new and relapse TB cases notified
prevtx_5plus_data_available	0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population	Are data available on the number of children aged 5 years and above, adolescents and adults who are household contacts of TB cases and started on TB preventive therapy?
prevtx_data_available	0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population	Are data available on the number of household contacts of TB cases started on TB preventive treatment?
prevtx_short_data_available	0=No; 1=Yes; 2=Not applicable; 194=Not used	Are data available on the number of patients treated using shorter TB preventive treatment regimens containing rifampicin or rifapentine?
prevtx_short_rifamycin		(if prevtx_short_data_available=1) Total number of individuals started on shorter TB preventive treatment regimens containing rifampicin or rifapentine in the reporting year
ptsurvey_newinc		(If prevtx_data_available=61) Number of bacteriologically-confirmed TB new and relapse cases notified in the reporting year whose medical records or treatment cards were included in a survey
ptsurvey_newinc_5plus		(If prevtx_5plus_data_available=61) Number of bacteriologically-confirmed TB new and relapse cases notified in the reporting year whose medical records or treatment cards were included in a survey
ptsurvey_newinc_con_prevtx		(If prevtx_data_available=61) Number of household contacts of the TB cases surveyed in ptsurvey_newinc who were started on TB preventive treatment.
ptsurvey_newinc_con04_prevtx		(If prevtx_data_available=61) Number of children aged under 5 started on TB preventive treatment who are household contacts of the TB cases in ptsurvey_newinc
ptsurvey_newinc_con5plus_prevtx		(If prevtx_5plus_data_available=61) Number of children aged 5 years and above, adolescents and adults started on TB preventive therapy who are household contacts of the TB cases in ptsurvey_newinc_5plus
rev_newinc		(If screen_data_available=61) Number of bacteriologically-confirmed pulmonary new and relapse TB cases whose medical records or treatment cards were included in the review
rev_newinc_con		(If screen_data_available=61) Number of household contacts identified from the bacteriologically-confirmed pulmonary new and relapse TB cases whose medical records or treatment cards were included in the review
rev_newinc_con_screen		(If screen_data_available=61) Number of household contacts who were evaluated for active TB and latent TB identified from the bacteriologically-confirmed pulmonary new and relapse TB cases whose medical records or treatment cards were included in the review
screen_data_available	0=No; 60= Yes available from the routine surveillance system; 61=Yes estimated from a review of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population; 5=Not applicable	Are data available on the number of household contacts of TB cases who were evaluated for TB?
country		Country or territory name
iso_numeric		ISO numeric country/territory code
iso2		ISO 2-character country/territory code
iso3		ISO 3-character country/territory code
age_group	0-4=0-4 years; 5-14=5-14 years; 15-24=15-24 years ..etc; 15plus=15 years and above; 65plus=65 years and above; all=All ages;	Age group (in years)
best		Best estimate
hi		High bound of estimate
lo		Low bound of estimate
measure	inc = incidence	The measure of TB burden being estimated
risk_factor	alc=Harmful use of alcohol; dia=Diabetes; hiv=HIV; smk=Smoking; und=Undernourishment; all=All (not disaggregated by specific risk factors)	Cases attributable to a specific risk factor
sex	a=All (females and males); f=Females; m=Males	Sex
unit	num=absolute number	The unit of measurement
dst_rlt_hr_new		Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin)
dst_rlt_hr_ret		Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin)
