1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
0.821;1.042;1.215;1.485;1.374;3.123;1.178;3.167;3.061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.851;0;0;0;1.135;2.662;1.264;2.802;2.646;0.992;2.187;1.619;1.328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.817;1.13;1.018;1.254;0.829;2.484;0.7;3.053;3.048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.873;1.715;1.498;1.41;1.115;2.941;1.07;3.145;3.083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.86;1.456;1.429;0.942;1.16;2.908;1.116;3.245;3.243;0;2.547;0;0;1.057;1.107;1.113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.848;0;0;0;1.349;2.862;0.746;2.417;2.407;0.653;0;0;0;1.179;1.121;1.863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.899;2.805;0;0;0;2.674;1.3;3.047;2.888;0;0;0;0.927;0;0;0;1.82;1.556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.901;1.724;1.7;1.808;1.034;2.776;1.362;1.656;1.732;0;2.313;0;0;0;0;0;0;0;0.962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.903;2.409;2.264;0.854;0.941;2.521;1.261;3.079;3.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.89;1.958;1.866;1.273;1.103;2.538;0.435;2.875;2.961;0;2.017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.836;1.227;1.269;0.741;1.067;3.007;1.458;1.563;1.597;0;0;0;0;0;0.833;0;0;0;0;0.564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.882;1.714;1.725;1.472;0;2.895;1.126;1.937;2.021;0;0;0;0;0;0;0;0;0;0;0;0.732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.903;2.476;2.38;1.205;1.041;1.865;1.238;2.948;2.864;0;1.406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
